title,description,category
Ajith Kumar,Famous Tamil actor known for action films,Actor
Vijay,Leading Tamil cinema actor and dancer,Actor
Rajinikanth,Superstar of Indian cinema,Actor
Kamal Haasan,Legendary actor and filmmaker,Actor
Suriya,Popular Tamil actor and producer,Actor
Python Programming,Learn Python from basics to advanced,Technology
Machine Learning,AI and ML fundamentals,Technology
Data Science,Data analysis and visualization,Technology
Web Development,Build modern web applications,Technology
Mobile Apps,Create iOS and Android apps,Technology
